                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     98,                 1.4445,                 1.3223,                 1.4884,                 0.5683,                0.52741,                0.52932,                0.37017,                 1.2164,                 1.5609,                 1.4483,               0.006832,               0.006832,               0.006832
                     99,                 1.4558,                 1.3206,                 1.4898,                0.59082,                0.52409,                0.53545,                0.37393,                 1.2098,                 1.5591,                  1.447,               0.006799,               0.006799,               0.006799
                    100,                 1.4518,                 1.3177,                 1.4892,                0.56137,                0.49185,                0.52245,                0.36665,                 1.2167,                 1.5911,                 1.4572,               0.006766,               0.006766,               0.006766
                    101,                 1.4405,                 1.3095,                 1.4832,                0.58837,                0.46376,                0.51992,                0.36634,                  1.191,                 1.6143,                 1.4353,               0.006733,               0.006733,               0.006733
                    102,                 1.4405,                 1.3021,                 1.4817,                0.58344,                0.50222,                0.52507,                0.36753,                 1.1965,                 1.5727,                 1.4292,                 0.0067,                 0.0067,                 0.0067
                    103,                 1.4478,                 1.3026,                 1.4824,                0.59294,                0.47556,                0.51713,                0.36241,                 1.1932,                 1.6015,                 1.4315,               0.006667,               0.006667,               0.006667
                    104,                 1.4337,                 1.2951,                 1.4787,                0.57588,                0.49285,                0.52216,                0.36626,                  1.187,                 1.5817,                 1.4263,               0.006634,               0.006634,               0.006634
                    105,                 1.4388,                 1.3031,                 1.4839,                0.55442,                0.50963,                 0.5163,                0.36289,                 1.1814,                 1.5732,                 1.4237,               0.006601,               0.006601,               0.006601
                    106,                 1.4365,                 1.3094,                 1.4866,                0.59438,                0.48412,                0.51757,                0.36001,                 1.1967,                 1.6035,                 1.4334,               0.006568,               0.006568,               0.006568
                    107,                  1.428,                 1.2906,                 1.4775,                0.58491,                0.50937,                0.52689,                0.36953,                 1.1856,                 1.5678,                 1.4269,               0.006535,               0.006535,               0.006535
                    108,                 1.4342,                 1.2959,                 1.4761,                0.58804,                0.51852,                0.52463,                0.36573,                 1.1821,                 1.5725,                  1.428,               0.006502,               0.006502,               0.006502
                    109,                 1.4291,                 1.2904,                 1.4779,                0.58162,                0.50457,                0.52161,                0.36238,                 1.1849,                  1.563,                 1.4197,               0.006469,               0.006469,               0.006469
                    110,                 1.4181,                 1.2876,                 1.4788,                0.57317,                 0.5037,                0.51423,                0.35801,                 1.1914,                 1.5774,                 1.4234,               0.006436,               0.006436,               0.006436
                    111,                 1.4374,                 1.2754,                 1.4835,                0.58669,                0.48789,                0.51915,                0.36256,                 1.1868,                 1.5803,                 1.4244,               0.006403,               0.006403,               0.006403
                    112,                 1.4238,                 1.2719,                 1.4657,                0.56652,                0.49333,                0.51752,                0.36042,                 1.1876,                 1.6038,                 1.4261,                0.00637,                0.00637,                0.00637
                    113,                 1.4445,                 1.2783,                 1.4744,                 0.5594,                0.49778,                0.50917,                0.35527,                 1.1938,                 1.6197,                 1.4298,               0.006337,               0.006337,               0.006337
                    114,                 1.4233,                 1.2651,                 1.4691,                0.58272,                0.48593,                0.51769,                0.36229,                 1.1866,                 1.6008,                 1.4228,               0.006304,               0.006304,               0.006304
